"","NC_006577.2 Human coronavirus HKU1, complete genome","NC_019843.3 Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome","NC_004718.3 SARS coronavirus Tor2, complete genome"
"NC_006577.2 Human coronavirus HKU1, complete genome",0,0.621246217375969,0.64395819437777
"NC_019843.3 Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC/2012, complete genome",0.621246217375969,0,0.60981619521394
"NC_004718.3 SARS coronavirus Tor2, complete genome",0.64395819437777,0.60981619521394,0
